"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2018,5,"9E","Endeavor Air Inc.","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",56.00,9.00,4.87,0.00,4.04,0.00,0.10,0.00,0.00,479.00,324.00,0.00,149.00,0.00,6.00,
2018,5,"9E","Endeavor Air Inc.","ABY","Albany, GA: Southwest Georgia Regional",88.00,10.00,6.50,0.02,2.50,0.00,0.98,0.00,0.00,418.00,255.00,1.00,121.00,0.00,41.00,
2018,5,"9E","Endeavor Air Inc.","AGS","Augusta, GA: Augusta Regional at Bush Field",33.00,8.00,2.23,0.00,4.49,0.00,1.28,0.00,0.00,183.00,50.00,0.00,101.00,0.00,32.00,
2018,5,"9E","Endeavor Air Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",2507.00,338.00,55.72,16.12,136.55,0.00,129.60,4.00,1.00,21647.00,7059.00,1510.00,4803.00,0.00,8275.00,
2018,5,"9E","Endeavor Air Inc.","ATW","Appleton, WI: Appleton International",32.00,5.00,2.94,0.00,2.01,0.00,0.05,0.00,1.00,174.00,118.00,0.00,55.00,0.00,1.00,
2018,5,"9E","Endeavor Air Inc.","AUS","Austin, TX: Austin - Bergstrom International",48.00,6.00,2.10,0.00,2.00,0.00,1.90,1.00,2.00,486.00,55.00,0.00,102.00,0.00,329.00,
2018,5,"9E","Endeavor Air Inc.","AVL","Asheville, NC: Asheville Regional",90.00,9.00,2.34,0.14,3.41,0.00,3.10,0.00,0.00,266.00,65.00,6.00,82.00,0.00,113.00,
2018,5,"9E","Endeavor Air Inc.","BDL","Hartford, CT: Bradley International",59.00,6.00,0.05,0.00,1.16,0.00,4.79,1.00,0.00,275.00,6.00,0.00,27.00,0.00,242.00,
2018,5,"9E","Endeavor Air Inc.","BGR","Bangor, ME: Bangor International",142.00,18.00,8.37,0.00,3.13,0.00,6.51,2.00,0.00,1805.00,500.00,0.00,746.00,0.00,559.00,
2018,5,"9E","Endeavor Air Inc.","BHM","Birmingham, AL: Birmingham-Shuttlesworth International",52.00,11.00,1.45,0.00,2.68,0.00,6.87,2.00,0.00,684.00,118.00,0.00,66.00,0.00,500.00,
2018,5,"9E","Endeavor Air Inc.","BMI","Bloomington/Normal, IL: Central Illinois Regional",79.00,14.00,6.95,1.50,1.57,0.00,3.98,0.00,0.00,803.00,437.00,62.00,47.00,0.00,257.00,
2018,5,"9E","Endeavor Air Inc.","BNA","Nashville, TN: Nashville International",162.00,22.00,7.44,1.04,4.28,0.00,9.24,1.00,0.00,1599.00,387.00,261.00,206.00,0.00,745.00,
2018,5,"9E","Endeavor Air Inc.","BOS","Boston, MA: Logan International",571.00,90.00,24.10,5.70,26.70,0.00,33.51,11.00,1.00,5315.00,1555.00,182.00,1195.00,0.00,2383.00,
2018,5,"9E","Endeavor Air Inc.","BQK","Brunswick, GA: Brunswick Golden Isles",87.00,13.00,7.48,1.28,2.70,0.00,1.55,0.00,0.00,653.00,407.00,40.00,95.00,0.00,111.00,
2018,5,"9E","Endeavor Air Inc.","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",10.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,40.00,0.00,0.00,
2018,5,"9E","Endeavor Air Inc.","BTV","Burlington, VT: Burlington International",232.00,21.00,9.45,0.79,4.77,0.00,5.99,4.00,2.00,2343.00,1001.00,48.00,777.00,0.00,517.00,
2018,5,"9E","Endeavor Air Inc.","BUF","Buffalo, NY: Buffalo Niagara International",319.00,53.00,6.72,1.06,14.97,0.00,30.26,5.00,0.00,3567.00,369.00,40.00,816.00,0.00,2342.00,
2018,5,"9E","Endeavor Air Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",181.00,25.00,9.85,1.00,9.33,0.00,4.82,4.00,0.00,1447.00,541.00,27.00,438.00,0.00,441.00,
2018,5,"9E","Endeavor Air Inc.","CAE","Columbia, SC: Columbia Metropolitan",27.00,6.00,0.87,0.09,0.00,0.00,5.04,0.00,0.00,536.00,31.00,11.00,0.00,0.00,494.00,
2018,5,"9E","Endeavor Air Inc.","CAK","Akron, OH: Akron-Canton Regional",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2018,5,"9E","Endeavor Air Inc.","CHA","Chattanooga, TN: Lovell Field",87.00,17.00,7.02,0.66,6.18,0.00,3.13,0.00,0.00,972.00,420.00,35.00,374.00,0.00,143.00,
2018,5,"9E","Endeavor Air Inc.","CHO","Charlottesville, VA: Charlottesville Albemarle",26.00,7.00,4.06,0.00,1.63,0.00,1.31,0.00,2.00,489.00,232.00,0.00,104.00,0.00,153.00,
