index,year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
5,2018,5,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",56,9,4.87,0,4.04,0,0.1,0,0,479,324,0,149,0,6
5,2018,5,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",88,10,6.5,0.02,2.5,0,0.98,0,0,418,255,1,121,0,41
5,2018,5,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",33,8,2.23,0,4.49,0,1.28,0,0,183,50,0,101,0,32
5,2018,5,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2507,338,55.72,16.12,136.55,0,129.6,4,1,21647,7059,1510,4803,0,8275
5,2018,5,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",32,5,2.94,0,2.01,0,0.05,0,1,174,118,0,55,0,1
5,2018,5,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",48,6,2.1,0,2,0,1.9,1,2,486,55,0,102,0,329
5,2018,5,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",90,9,2.34,0.14,3.41,0,3.1,0,0,266,65,6,82,0,113
5,2018,5,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",59,6,0.05,0,1.16,0,4.79,1,0,275,6,0,27,0,242
5,2018,5,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",142,18,8.37,0,3.13,0,6.51,2,0,1805,500,0,746,0,559
5,2018,5,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",52,11,1.45,0,2.68,0,6.87,2,0,684,118,0,66,0,500
